INFO 2018-06-10 15:36:46,928 54 id: 5b16ab4f898e0a1465a2d5fe updated coordinate
INFO 2018-06-10 15:36:46,940 54 id: 5b16ab4f898e0a1465a2d5ff updated coordinate
INFO 2018-06-10 15:36:46,946 54 id: 5b16ab4f898e0a1465a2d600 updated coordinate
INFO 2018-06-10 15:36:46,951 54 id: 5b16ab4f898e0a1465a2d602 updated coordinate
INFO 2018-06-10 15:36:46,954 54 id: 5b16ab4f898e0a1465a2d603 updated coordinate
INFO 2018-06-10 15:36:46,956 54 id: 5b16ab4f898e0a1465a2d605 updated coordinate
INFO 2018-06-10 15:36:46,958 54 id: 5b16ab4f898e0a1465a2d606 updated coordinate
INFO 2018-06-10 15:36:47,111 41 id: 5b16ab4f898e0a1465a2d608 got wrong coordinate
INFO 2018-06-10 15:36:47,118 54 id: 5b16ab4f898e0a1465a2d607 updated coordinate
INFO 2018-06-10 15:36:47,120 54 id: 5b16ab4f898e0a1465a2d609 updated coordinate
INFO 2018-06-10 15:36:47,122 54 id: 5b16ab4f898e0a1465a2d60a updated coordinate
INFO 2018-06-10 15:36:47,124 54 id: 5b16ab4f898e0a1465a2d60b updated coordinate
INFO 2018-06-10 15:36:47,126 54 id: 5b16ab4f898e0a1465a2d60c updated coordinate
INFO 2018-06-10 15:36:47,127 54 id: 5b16ab4f898e0a1465a2d60d updated coordinate
INFO 2018-06-10 15:36:47,129 54 id: 5b16ab4f898e0a1465a2d60e updated coordinate
INFO 2018-06-10 15:36:47,133 54 id: 5b16ab4f898e0a1465a2d60f updated coordinate
INFO 2018-06-10 15:36:47,136 54 id: 5b16ab4f898e0a1465a2d610 updated coordinate
INFO 2018-06-10 15:36:47,272 41 id: 5b16ab4f898e0a1465a2d612 got wrong coordinate
INFO 2018-06-10 15:36:47,285 54 id: 5b16ab4f898e0a1465a2d611 updated coordinate
INFO 2018-06-10 15:36:47,287 54 id: 5b16ab4f898e0a1465a2d613 updated coordinate
INFO 2018-06-10 15:36:47,291 54 id: 5b16ab4f898e0a1465a2d614 updated coordinate
INFO 2018-06-10 15:36:47,294 54 id: 5b16ab4f898e0a1465a2d615 updated coordinate
INFO 2018-06-10 15:36:47,296 54 id: 5b16ab4f898e0a1465a2d616 updated coordinate
INFO 2018-06-10 15:36:47,299 54 id: 5b16ab4f898e0a1465a2d617 updated coordinate
INFO 2018-06-10 15:36:47,301 54 id: 5b16ab4f898e0a1465a2d618 updated coordinate
INFO 2018-06-10 15:36:47,313 54 id: 5b16ab4f898e0a1465a2d619 updated coordinate
INFO 2018-06-10 15:36:47,320 54 id: 5b16ab4f898e0a1465a2d61a updated coordinate
INFO 2018-06-10 15:36:47,467 41 id: 5b16ab4f898e0a1465a2d624 got wrong coordinate
INFO 2018-06-10 15:36:47,471 54 id: 5b16ab4f898e0a1465a2d61b updated coordinate
INFO 2018-06-10 15:36:47,473 54 id: 5b16ab4f898e0a1465a2d61c updated coordinate
INFO 2018-06-10 15:36:47,475 54 id: 5b16ab4f898e0a1465a2d61d updated coordinate
INFO 2018-06-10 15:36:47,477 54 id: 5b16ab4f898e0a1465a2d61e updated coordinate
INFO 2018-06-10 15:36:47,479 54 id: 5b16ab4f898e0a1465a2d61f updated coordinate
INFO 2018-06-10 15:36:47,481 54 id: 5b16ab4f898e0a1465a2d620 updated coordinate
INFO 2018-06-10 15:36:47,485 54 id: 5b16ab4f898e0a1465a2d621 updated coordinate
INFO 2018-06-10 15:36:47,487 54 id: 5b16ab4f898e0a1465a2d622 updated coordinate
INFO 2018-06-10 15:36:47,489 54 id: 5b16ab4f898e0a1465a2d623 updated coordinate
INFO 2018-06-10 15:36:47,624 54 id: 5b16ab4f898e0a1465a2d625 updated coordinate
INFO 2018-06-10 15:36:47,627 54 id: 5b16ab4f898e0a1465a2d626 updated coordinate
INFO 2018-06-10 15:36:47,644 54 id: 5b16ab4f898e0a1465a2d627 updated coordinate
INFO 2018-06-10 15:36:47,654 54 id: 5b16ab4f898e0a1465a2d628 updated coordinate
INFO 2018-06-10 15:36:47,660 54 id: 5b16ab4f898e0a1465a2d629 updated coordinate
INFO 2018-06-10 15:36:47,663 54 id: 5b16ab4f898e0a1465a2d62a updated coordinate
INFO 2018-06-10 15:36:47,666 54 id: 5b16ab4f898e0a1465a2d62b updated coordinate
INFO 2018-06-10 15:36:47,669 54 id: 5b16ab4f898e0a1465a2d62c updated coordinate
INFO 2018-06-10 15:36:47,671 54 id: 5b16ab4f898e0a1465a2d62d updated coordinate
INFO 2018-06-10 15:36:47,673 54 id: 5b16ab4f898e0a1465a2d62e updated coordinate
INFO 2018-06-10 15:36:47,810 41 id: 5b16ab51898e0a1465a2d634 got wrong coordinate
INFO 2018-06-10 15:36:47,816 54 id: 5b16ab51898e0a1465a2d62f updated coordinate
INFO 2018-06-10 15:36:47,818 54 id: 5b16ab51898e0a1465a2d630 updated coordinate
INFO 2018-06-10 15:36:47,821 54 id: 5b16ab51898e0a1465a2d631 updated coordinate
INFO 2018-06-10 15:36:47,822 54 id: 5b16ab51898e0a1465a2d632 updated coordinate
INFO 2018-06-10 15:36:47,824 54 id: 5b16ab51898e0a1465a2d633 updated coordinate
INFO 2018-06-10 15:36:47,826 54 id: 5b16ab51898e0a1465a2d635 updated coordinate
INFO 2018-06-10 15:36:47,828 54 id: 5b16ab51898e0a1465a2d636 updated coordinate
INFO 2018-06-10 15:36:47,831 54 id: 5b16ab51898e0a1465a2d637 updated coordinate
